precision,recall,f1-score,support,Fold
0.6247030878859857,0.028987104596054226,0.055403412681693694,9073.0,1
0.9785407725321889,0.9996068615107466,0.9889616463985033,401894.0,1
0.9781782965542245,0.9781782965542245,0.9781782965542245,0.9781782965542245,1
0.8016219302090872,0.5142969830534004,0.5221825295400985,410967.0,1
0.9707290277624263,0.9781782965542245,0.9683512960430913,410967.0,1
0.6314741035856574,0.03493882949410338,0.06621409921671018,9073.0,2
0.9786680959399705,0.9995396796170134,0.9889937823056062,401894.0,2
0.9782439952599601,0.9782439952599601,0.9782439952599601,0.9782439952599601,2
0.8050710997628139,0.5172392545555584,0.5276039407611581,410967.0,2
0.9710030252831278,0.9782439952599601,0.9686213921510061,410967.0,2
0.5759493670886076,0.03008927587347074,0.05719074054676862,9073.0,3
0.9785623628173927,0.9994998681244308,0.9889203052239881,401894.0,3
0.9780979981361034,0.9780979981361034,0.9780979981361034,0.9780979981361034,3
0.7772558649530001,0.5147945719989507,0.5230555228853784,410967.0,3
0.9696737958272275,0.9780979981361034,0.968350326757794,410967.0,3
0.5641025641025641,0.029097321723795876,0.05534011109946546,9073.0,4
0.9785407516218066,0.9994924034695716,0.9889056158780295,401894.0,4
0.978068798711332,0.978068798711332,0.978068798711332,0.978068798711332,4
0.7713216578621853,0.5142948625966838,0.5221228634887475,410967.0,4
0.9693911175262172,0.978068798711332,0.9682951049979446,410967.0,4
